Property_ID,BHK,Area_SqFt,Locality,Locality_Tier,Price_Lakhs,Price_Per_SqFt,Property_Type,Furnishing_Status,Construction_Status,Property_Overview,Investment_Analysis,Location_Advantages,Target_Buyers,Total_Amenities,Amenities,Nearby_Features,Selling_Points,Views_Facing,Quality_Score,Quality_Rating,Quality_Out_Of_100,Locality_Avg_Price,Locality_Character,Locality_Description,Ideal_For,Market_Position,Price_vs_Market_Percent,Investment_Recommendation,AI_Model,Analysis_Type,Batch_Number
0,4.0,2250.0,Bodakdev,Tier 1,368.0,16355.56,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,189.7,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,93.99,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
1,5.0,3415.0,Sarkhej,Tier 3,366.0,10717.42,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,87.84,Mid-Range & Active & Comfortable,"A well-established residential locality, good market activity, moderately-sized properties","Small Families / Working Professionals, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,316.67,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
2,4.0,3150.0,Bhat,Tier 3,365.0,11587.3,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,122.59,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,197.74,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
3,4.0,336.0,Sanand,Tier 2,365.0,108630.95,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,68.51,Mid-Range & Emerging & Comfortable,"A well-established residential locality, developing area, moderately-sized properties","Small Families / Working Professionals, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,432.77,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
4,5.0,3285.0,Kankaria,Tier 2,365.0,11111.11,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,222.5,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,64.04,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
5,4.0,3650.0,Sarkhej,Tier 3,360.0,9863.01,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,87.84,Mid-Range & Active & Comfortable,"A well-established residential locality, good market activity, moderately-sized properties","Small Families / Working Professionals, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,309.84,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
6,4.0,2300.0,Ambawadi,Tier 1,360.0,15652.17,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,163.09,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,120.74,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
7,4.0,3168.0,Science City,Tier 2,359.0,11332.07,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,193.84,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,85.2,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
8,4.0,3168.0,Science City,Tier 2,359.0,11332.07,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,193.84,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,85.2,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
9,4.0,3168.0,Science City,Tier 2,359.0,11332.07,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,193.84,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,85.2,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
